"Source","CD","Location","Notes","Raw"
"Knjiga_1","3","(MJESTO NIJE NAVEDENO)","Napjev 03; pjeva Ante Cvitanović, ali lokacija nije izričito zapisana","(MJESTO NIJE NAVEDENO) (Napjev 03; pjeva Ante Cvitanović, ali lokacija nije izričito zapisana)"
"Knjiga_1","3","METKOVIĆ","Napjevi 04–05","METKOVIĆ (Napjevi 04–05)"
"Knjiga_1","3","SPLIT","Crkva sestara Službenica Milosrđa – Anćele; napjev 06","SPLIT (Crkva sestara Službenica Milosrđa – Anćele; napjev 06)"
"Knjiga_1","4","SUMARTIN","Napjevi 01–02","SUMARTIN (Napjevi 01–02)"
"Knjiga_1","4","(MJESTO NIJE NAVEDENO)","Napjevi 03–04; pjevaju fra Stipica Grgat i Miro Perica, bez navedene lokacije","(MJESTO NIJE NAVEDENO) (Napjevi 03–04; pjevaju fra Stipica Grgat i Miro Perica, bez navedene lokacije)"
"Knjiga_1","4","SPLIT","Crkva sestara Službenica Milosrđa – Anćele; napjevi 05–06","SPLIT (Crkva sestara Službenica Milosrđa – Anćele; napjevi 05–06)"
"Knjiga_1","4","STANKOVCI","Napjevi 07–09","STANKOVCI (Napjevi 07–09)"
"Knjiga_1","4","SPLIT","Crkva sestara Službenica Milosrđa – Anćele; napjev 10","SPLIT (Crkva sestara Službenica Milosrđa – Anćele; napjev 10)"
"Knjiga_1","4","METKOVIĆ","Napjev 11","METKOVIĆ (Napjev 11)"
"Knjiga_1","4","SUMARTIN","Napjev 12","SUMARTIN (Napjev 12)"
"Knjiga_1","4","VRGORAC","Napjev 13","VRGORAC (Napjev 13)"
"Knjiga_1","4","METKOVIĆ","Napjev 14","METKOVIĆ (Napjev 14)"
"Knjiga_1","4","(MJESTO NIJE NAVEDENO)","Napjev 15; naslov ""Blagoslovljen"" bez pratećih podataka o izvođačima i lokaciji","(MJESTO NIJE NAVEDENO) (Napjev 15; naslov ""Blagoslovljen"" bez pratećih podataka o izvođačima i lokaciji)"
"Knjiga_1","4","VRGORAC","Napjev 16","VRGORAC (Napjev 16)"
"Knjiga_1","4","METKOVIĆ","Napjev 17","METKOVIĆ (Napjev 17)"
"Knjiga_1","4","(MJESTO NIJE NAVEDENO)","Napjevi 18–19; naslovi bez lokacije","(MJESTO NIJE NAVEDENO) (Napjevi 18–19; naslovi bez lokacije)"
"Knjiga_1","4","SPLIT","Crkva sestara Službenica Milosrđa – Anćele; napjev 20","SPLIT (Crkva sestara Službenica Milosrđa – Anćele; napjev 20)"
"Knjiga_1","4","STANKOVCI","Napjev 21","STANKOVCI (Napjev 21)"
"Knjiga_1","4","LIŠANE OSTROVIČKE","Napjev 22","LIŠANE OSTROVIČKE (Napjev 22)"
"Knjiga_2","1","IGRANE","Napjevi 01–12","IGRANE (Napjevi 01–12)"
"Knjiga_2","1","MIRLOVIĆ ZAGORA","Napjevi 13–18","MIRLOVIĆ ZAGORA (Napjevi 13–18)"
"Knjiga_2","1","RUPE","Napjevi 19–22","RUPE (Napjevi 19–22)"
"Knjiga_2","1","ČVRLJEVO","Snimljeno u Splitu; napjevi 23–26","ČVRLJEVO (Snimljeno u Splitu; napjevi 23–26)"
"Knjiga_2","1","BANJEVCI","Napjevi 27–31","BANJEVCI (Napjevi 27–31)"
"Knjiga_2","1","","LOKACIJA NIJE NAVEDENA ZA NAPJEVE 32-33","(LOKACIJA NIJE NAVEDENA ZA NAPJEVE 32-33)"
"Knjiga_2","2","RADOŠIĆ","Napjevi 01–05","RADOŠIĆ (Napjevi 01–05)"
"Knjiga_2","2","DRVENIK","Napjevi 06–08","DRVENIK (Napjevi 06–08)"
"Knjiga_2","2","","LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjevi 09–17","(LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjevi 09–17)"
"Knjiga_2","2","","LOKACIJA NIJE NAVEDENA – MARTIN BURIĆ; napjev 18","(LOKACIJA NIJE NAVEDENA – MARTIN BURIĆ; napjev 18)"
"Knjiga_2","2","","LOKACIJA NIJE NAVEDENA – MARTIN VEŽA; napjev 19","(LOKACIJA NIJE NAVEDENA – MARTIN VEŽA; napjev 19)"
"Knjiga_2","2","MIRLOVIĆ ZAGORA","Napjevi 20–21","MIRLOVIĆ ZAGORA (Napjevi 20–21)"
"Knjiga_2","2","MILJEVCI","Napjev 22","MILJEVCI (Napjev 22)"
"Knjiga_2","2","RUPE","Napjev 23","RUPE (Napjev 23)"
"Knjiga_2","2","BANJEVCI","Napjev 24","BANJEVCI (Napjev 24)"
"Knjiga_2","2","RADOŠIĆ","Napjev 25","RADOŠIĆ (Napjev 25)"
"Knjiga_2","2","","LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjevi 26–29","(LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjevi 26–29)"
"Knjiga_2","2","MIRLOVIĆ ZAGORA","Napjev 30","MIRLOVIĆ ZAGORA (Napjev 30)"
"Knjiga_2","2","RUPE","Napjev 31","RUPE (Napjev 31)"
"Knjiga_2","2","ČVRLJEVO","Napjev 32","ČVRLJEVO (Napjev 32)"
"Knjiga_2","2","RADOŠIĆ","Napjev 33","RADOŠIĆ (Napjev 33)"
"Knjiga_2","2","MIRLOVIĆ ZAGORA","Napjev 34","MIRLOVIĆ ZAGORA (Napjev 34)"
"Knjiga_2","2","BANJEVCI","Napjev 35","BANJEVCI (Napjev 35)"
"Knjiga_2","2","BRIST","Napjev 36","BRIST (Napjev 36)"
"Knjiga_2","2","","LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjev 37","(LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjev 37)"
"Knjiga_2","2","MIRLOVIĆ ZAGORA","Napjev 38","MIRLOVIĆ ZAGORA (Napjev 38)"
"Knjiga_2","2","ČVRLJEVO","Napjev 39","ČVRLJEVO (Napjev 39)"
"Knjiga_2","2","","LOKACIJA NIJE NAVEDENA – SLAVKA I KATA KRNIĆ; napjev 40","(LOKACIJA NIJE NAVEDENA – SLAVKA I KATA KRNIĆ; napjev 40)"
"Knjiga_2","2","RUPE","Napjev 41","RUPE (Napjev 41)"
"Knjiga_2","2","RADOŠIĆ","Napjev 42","RADOŠIĆ (Napjev 42)"
"Knjiga_2","2","MILJEVCI","Napjev 43","MILJEVCI (Napjev 43)"
"Knjiga_2","2","MIRLOVIĆ ZAGORA","Napjev 44","MIRLOVIĆ ZAGORA (Napjev 44)"
"Knjiga_2","2","MILJEVCI","Napjev 45","MILJEVCI (Napjev 45)"
"Knjiga_2","3","","LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjevi 01–04","(LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjevi 01–04)"
"Knjiga_2","3","MIRLOVIĆ ZAGORA","Napjev 05","MIRLOVIĆ ZAGORA (Napjev 05)"
"Knjiga_2","3","","LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjev 06","(LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjev 06)"
"Knjiga_2","3","VRGORAC","Napjev 07","VRGORAC (Napjev 07)"
"Knjiga_2","3","BRIST","Napjevi 08–09","BRIST (Napjevi 08–09)"
"Knjiga_2","3","MILJEVCI","Napjev 10","MILJEVCI (Napjev 10)"
"Knjiga_2","3","MIRLOVIĆ ZAGORA","Napjev 11","MIRLOVIĆ ZAGORA (Napjev 11)"
"Knjiga_2","3","PROMINA","Napjev 12","PROMINA (Napjev 12)"
"Knjiga_2","3","","LOKACIJA NIJE NAVEDENA – BOŽO ŠKOPLJANAC; napjev 13","(LOKACIJA NIJE NAVEDENA – BOŽO ŠKOPLJANAC; napjev 13)"
"Knjiga_2","3","","LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjevi 14–18","(LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjevi 14–18)"
"Knjiga_2","3","","LOKACIJA NIJE NAVEDENA – FRA ŠIMUN ČUGURA; napjev 19","(LOKACIJA NIJE NAVEDENA – FRA ŠIMUN ČUGURA; napjev 19)"
"Knjiga_2","3","","LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjevi 20–21","(LOKACIJA NIJE NAVEDENA – ANTE CVITANOVIĆ MIKA; napjevi 20–21)"
"Knjiga_2","3","BRIST","Napjevi 22–23","BRIST (Napjevi 22–23)"
"Knjiga_2","3","MIRLOVIĆ ZAGORA","Napjev 24","MIRLOVIĆ ZAGORA (Napjev 24)"
"Knjiga_2","3","MILJEVCI","Napjev 25","MILJEVCI (Napjev 25)"
"Knjiga_2","3","BANJEVCI","Napjev 26","BANJEVCI (Napjev 26)"
"Knjiga_2","3","RUPE","Napjev 27","RUPE (Napjev 27)"
"Knjiga_2","3","RADOŠIĆ","Napjevi 28–29","RADOŠIĆ (Napjevi 28–29)"
"Knjiga_2","3","MILJEVCI","Napjev 30","MILJEVCI (Napjev 30)"
"Knjiga_2","3","MIRLOVIĆ ZAGORA","Napjevi 31–32","MIRLOVIĆ ZAGORA (Napjevi 31–32)"
"Popis_1","1","OMIŠALJ","","CD 1 OMIŠALJ, KRK"
"Popis_1","1","KRK","","CD 1 OMIŠALJ, KRK"
"Popis_1","2","OMIŠALJ","","CD 2 OMIŠALJ, KRK"
"Popis_1","2","KRK","","CD 2 OMIŠALJ, KRK"
"Popis_1","3","OMIŠALJ","","CD 3 OMIŠALJ, KRK"
"Popis_1","3","KRK","","CD 3 OMIŠALJ, KRK"
"Popis_1","4","OMIŠALJ","","CD 4 OMIŠALJ, KRK"
"Popis_1","4","KRK","","CD 4 OMIŠALJ, KRK"
"Popis_1","5","MALINSKA","","CD 5 MALINSKA, DUBAŠNICA, OMIŠALJ, KRK"
"Popis_1","5","DUBAŠNICA","","CD 5 MALINSKA, DUBAŠNICA, OMIŠALJ, KRK"
"Popis_1","5","OMIŠALJ","","CD 5 MALINSKA, DUBAŠNICA, OMIŠALJ, KRK"
"Popis_1","5","KRK","","CD 5 MALINSKA, DUBAŠNICA, OMIŠALJ, KRK"
"Popis_1","6","OMIŠALJ","","CD 6 OMIŠALJ, KRK"
"Popis_1","6","KRK","","CD 6 OMIŠALJ, KRK"
"Popis_1","7","OMIŠALJ","","CD 7 OMIŠALJ, KRK"
"Popis_1","7","KRK","","CD 7 OMIŠALJ, KRK"
"Popis_1","8","OMIŠALJ","","CD 8 OMIŠALJ, KRK"
"Popis_1","8","KRK","","CD 8 OMIŠALJ, KRK"
"Popis_1","9","PUNAT","","CD 9 PUNAT, KRK"
"Popis_1","9","KRK","","CD 9 PUNAT, KRK"
"Popis_1","10","PUNAT","","CD 10 PUNAT, KRK"
"Popis_1","10","KRK","","CD 10 PUNAT, KRK"
"Popis_1","11","JURANDVOR I BAŠKA","","CD 11 JURANDVOR I BAŠKA, KRK"
"Popis_1","11","KRK","","CD 11 JURANDVOR I BAŠKA, KRK"
"Popis_1","12","JURANDVOR I BAŠKA","","CD 12 JURANDVOR I BAŠKA, KRK"
"Popis_1","12","KRK","","CD 12 JURANDVOR I BAŠKA, KRK"
"Popis_1","13","VRBNIK","","CD 13 VRBNIK, KRK"
"Popis_1","13","KRK","","CD 13 VRBNIK, KRK"
"Popis_1","14","VRBNIK","","CD 14 VRBNIK, KRK"
"Popis_1","14","KRK","","CD 14 VRBNIK, KRK"
"Popis_1","15","DOBRINJ","","CD 15 DOBRINJ, KRK"
"Popis_1","15","KRK","","CD 15 DOBRINJ, KRK"
"Popis_1","16","DOBRINJ","","CD 16 DOBRINJ, KRK"
"Popis_1","16","KRK","","CD 16 DOBRINJ, KRK"
"Popis_1","17","DOBRINJ","","CD 17 DOBRINJ, KRK"
"Popis_1","17","KRK","","CD 17 DOBRINJ, KRK"
"Popis_1","18","DOBRINJ","","CD 18 DOBRINJ, KRK"
"Popis_1","18","KRK","","CD 18 DOBRINJ, KRK"
"Popis_1","19","OMIŠALJ","","CD 19 OMIŠALJ, KRK (SNIMANO U RIJECI)"
"Popis_1","19","KRK (SNIMANO U RIJECI)","","CD 19 OMIŠALJ, KRK (SNIMANO U RIJECI)"
"Popis_1","20","BAŠKA DRAGA","","CD 20 BAŠKA DRAGA, DUBAŠNICA, VRBNIK, KRK"
"Popis_1","20","DUBAŠNICA","","CD 20 BAŠKA DRAGA, DUBAŠNICA, VRBNIK, KRK"
"Popis_1","20","VRBNIK","","CD 20 BAŠKA DRAGA, DUBAŠNICA, VRBNIK, KRK"
"Popis_1","20","KRK","","CD 20 BAŠKA DRAGA, DUBAŠNICA, VRBNIK, KRK"
"Popis_1","21","VRBNIK","","CD 21 VRBNIK, KRK"
"Popis_1","21","KRK","","CD 21 VRBNIK, KRK"
"Popis_1","22","VRBNIK","","CD 22 VRBNIK, KRK"
"Popis_1","22","KRK","","CD 22 VRBNIK, KRK"
"Popis_1","23","VRBNIK","","CD 23 VRBNIK, KRK"
"Popis_1","23","KRK","","CD 23 VRBNIK, KRK"
"Popis_1","24","VRBNIK I BAŠKA","","CD 24 VRBNIK I BAŠKA, KRK"
"Popis_1","24","KRK","","CD 24 VRBNIK I BAŠKA, KRK"
"Popis_1","25","BANJOL I LOPAR","","CD 25 BANJOL I LOPAR, RAB"
"Popis_1","25","RAB","","CD 25 BANJOL I LOPAR, RAB"
"Popis_1","26","LOPAR","","CD 26 LOPAR, RAB"
"Popis_1","26","RAB","","CD 26 LOPAR, RAB"
"Popis_1","27","BANJOL","","CD 27 BANJOL, RAB"
"Popis_1","27","RAB","","CD 27 BANJOL, RAB"
"Popis_1","28","NOVALJA","","CD 28 NOVALJA, PAG"
"Popis_1","28","PAG","","CD 28 NOVALJA, PAG"
"Popis_1","29","NOVALJA","","CD 29 NOVALJA, PAG"
"Popis_1","29","PAG","","CD 29 NOVALJA, PAG"
"Popis_1","30","TROGIR","","CD 30 TROGIR"
"Popis_1","31","TROGIR","","CD 31 TROGIR"
"Popis_1","32","LANIŠĆE","","CD 32 LANIŠĆE, ISTRA"
"Popis_1","32","ISTRA","","CD 32 LANIŠĆE, ISTRA"
"Popis_1","33","LANIŠĆE","","CD 33 LANIŠĆE, ISTRA"
"Popis_1","33","ISTRA","","CD 33 LANIŠĆE, ISTRA"
"Popis_1","34","LANIŠĆE","","CD 34 LANIŠĆE, ISTRA"
"Popis_1","34","ISTRA","","CD 34 LANIŠĆE, ISTRA"
"Popis_1","35","LANIŠĆE I PAZIN","","CD 35 LANIŠĆE I PAZIN, ISTRA"
"Popis_1","35","ISTRA","","CD 35 LANIŠĆE I PAZIN, ISTRA"
"Popis_1","36","HVAR I STARIGRAD","","CD 36 HVAR I STARIGRAD, HVAR"
"Popis_1","36","HVAR","","CD 36 HVAR I STARIGRAD, HVAR"
"Popis_1","37","STARIGRAD I BRUSJE","","CD 37 STARIGRAD I BRUSJE, HVAR"
"Popis_1","37","HVAR","","CD 37 STARIGRAD I BRUSJE, HVAR"
"Popis_1","38","BRUSJA","","CD 38 BRUSJA, HVAR"
"Popis_1","38","HVAR","","CD 38 BRUSJA, HVAR"
"Popis_1","39","BRUSJA","","CD 39 BRUSJA, HVAR"
"Popis_1","39","HVAR","","CD 39 BRUSJA, HVAR"
"Popis_1","40","BRUSJE I GRAD HVAR","","CD 40 BRUSJE I GRAD HVAR, HVAR"
"Popis_1","40","HVAR","","CD 40 BRUSJE I GRAD HVAR, HVAR"
"Popis_1","41","BRUSJE I JELSA","","CD 41 BRUSJE I JELSA, HVAR"
"Popis_1","41","HVAR","","CD 41 BRUSJE I JELSA, HVAR"
"Popis_1","42","JELSA","","CD 42 JELSA, HVAR"
"Popis_1","42","HVAR","","CD 42 JELSA, HVAR"
"Popis_1","43","JELSA","","CD 43 JELSA, HVAR"
"Popis_1","43","HVAR","","CD 43 JELSA, HVAR"
"Popis_1","44","GRAD HVAR","","CD 44 GRAD HVAR, HVAR"
"Popis_1","44","HVAR","","CD 44 GRAD HVAR, HVAR"
"Popis_1","45","GRAD HVAR I BRUSJE","","CD 45 GRAD HVAR I BRUSJE, HVAR"
"Popis_1","45","HVAR","","CD 45 GRAD HVAR I BRUSJE, HVAR"
"Popis_1","46","BRUSJE","","CD 46 BRUSJE, HVAR"
"Popis_1","46","HVAR","","CD 46 BRUSJE, HVAR"
"Popis_1","47","VRISNIK","","CD 47 VRISNIK, KUKULJICA (VJEROJATNO KUKLJICA), HVAR/ZADARSKI OTOCI"
"Popis_1","47","KUKULJICA (VJEROJATNO KUKLJICA)","","CD 47 VRISNIK, KUKULJICA (VJEROJATNO KUKLJICA), HVAR/ZADARSKI OTOCI"
"Popis_1","47","HVAR/ZADARSKI OTOCI","","CD 47 VRISNIK, KUKULJICA (VJEROJATNO KUKLJICA), HVAR/ZADARSKI OTOCI"
"Popis_1","48","KUKULJICA","","CD 48 KUKULJICA, SESTRUNJ, ZADARSKI OTOCI"
"Popis_1","48","SESTRUNJ","","CD 48 KUKULJICA, SESTRUNJ, ZADARSKI OTOCI"
"Popis_1","48","ZADARSKI OTOCI","","CD 48 KUKULJICA, SESTRUNJ, ZADARSKI OTOCI"
"Popis_1","49","SESTRUNJ","","CD 49 SESTRUNJ, PREKO (UGLJAN), ZADARSKI OTOCI"
"Popis_1","49","PREKO (UGLJAN)","","CD 49 SESTRUNJ, PREKO (UGLJAN), ZADARSKI OTOCI"
"Popis_1","49","ZADARSKI OTOCI","","CD 49 SESTRUNJ, PREKO (UGLJAN), ZADARSKI OTOCI"
"Popis_1","50","PREKO (UGLJAN)","","CD 50 PREKO (UGLJAN), ZADARSKI OTOCI"
"Popis_1","50","ZADARSKI OTOCI","","CD 50 PREKO (UGLJAN), ZADARSKI OTOCI"
"Popis_1","51","ČARA I SMOKVICA","","CD 51 ČARA I SMOKVICA, KORČULA"
"Popis_1","51","KORČULA","","CD 51 ČARA I SMOKVICA, KORČULA"
"Popis_1","52","SMOKVICA","","CD 52 SMOKVICA, ČARA I RAČIŠĆE, KORČULA"
"Popis_1","52","ČARA I RAČIŠĆE","","CD 52 SMOKVICA, ČARA I RAČIŠĆE, KORČULA"
"Popis_1","52","KORČULA","","CD 52 SMOKVICA, ČARA I RAČIŠĆE, KORČULA"
"Popis_1","53","ČARA","","CD 53 ČARA, RAČIŠĆE, ŽRNOVO, KORČULA; STON, PELJEŠAC"
"Popis_1","53","RAČIŠĆE","","CD 53 ČARA, RAČIŠĆE, ŽRNOVO, KORČULA; STON, PELJEŠAC"
"Popis_1","53","ŽRNOVO","","CD 53 ČARA, RAČIŠĆE, ŽRNOVO, KORČULA; STON, PELJEŠAC"
"Popis_1","53","KORČULA; STON","","CD 53 ČARA, RAČIŠĆE, ŽRNOVO, KORČULA; STON, PELJEŠAC"
"Popis_1","53","PELJEŠAC","","CD 53 ČARA, RAČIŠĆE, ŽRNOVO, KORČULA; STON, PELJEŠAC"
"Popis_1","54","OMIŠALJ","","CD 54 OMIŠALJ, KRK"
"Popis_1","54","KRK","","CD 54 OMIŠALJ, KRK"
"Popis_1","55","OMIŠALJ","","CD 55 OMIŠALJ, KRK"
"Popis_1","55","KRK","","CD 55 OMIŠALJ, KRK"
"Popis_1","56","KAŠTEL ŠTAFILIĆ","","CD 56 KAŠTEL ŠTAFILIĆ, KAŠTELA"
"Popis_1","56","KAŠTELA","","CD 56 KAŠTEL ŠTAFILIĆ, KAŠTELA"
"Popis_1","57","KAŠTEL ŠTAFILIĆ","","CD 57 KAŠTEL ŠTAFILIĆ, KAŠTELA"
"Popis_1","57","KAŠTELA","","CD 57 KAŠTEL ŠTAFILIĆ, KAŠTELA"
"Popis_1","58","KAŠTEL ŠTAFILIĆ","","CD 58 KAŠTEL ŠTAFILIĆ, KAŠTELA"
"Popis_1","58","KAŠTELA","","CD 58 KAŠTEL ŠTAFILIĆ, KAŠTELA"
"Popis_1","59","KAŠTEL ŠTAFILIĆ","","CD 59 KAŠTEL ŠTAFILIĆ, KAŠTEL KAMBELOVAC, KAŠTEL STARI, KAŠTELA"
"Popis_1","59","KAŠTEL KAMBELOVAC","","CD 59 KAŠTEL ŠTAFILIĆ, KAŠTEL KAMBELOVAC, KAŠTEL STARI, KAŠTELA"
"Popis_1","59","KAŠTEL STARI","","CD 59 KAŠTEL ŠTAFILIĆ, KAŠTEL KAMBELOVAC, KAŠTEL STARI, KAŠTELA"
"Popis_1","59","KAŠTELA","","CD 59 KAŠTEL ŠTAFILIĆ, KAŠTEL KAMBELOVAC, KAŠTEL STARI, KAŠTELA"
"Popis_1","60","KAŠTEL STARI","","CD 60 KAŠTEL STARI, KAŠTEL SUĆURAC, KAŠTELA"
"Popis_1","60","KAŠTEL SUĆURAC","","CD 60 KAŠTEL STARI, KAŠTEL SUĆURAC, KAŠTELA"
"Popis_1","60","KAŠTELA","","CD 60 KAŠTEL STARI, KAŠTEL SUĆURAC, KAŠTELA"
"Popis_1","61","KAŠTEL SUĆURAC","","CD 61 KAŠTEL SUĆURAC, VRANJIC, DALMACIJA"
"Popis_1","61","VRANJIC","","CD 61 KAŠTEL SUĆURAC, VRANJIC, DALMACIJA"
"Popis_1","61","DALMACIJA","","CD 61 KAŠTEL SUĆURAC, VRANJIC, DALMACIJA"
"Popis_1","62","VRANJIC","","CD 62 VRANJIC, KAŠTEL LUKŠIĆ, KAŠTEL KAMBELOVAC, DALMACIJA"
"Popis_1","62","KAŠTEL LUKŠIĆ","","CD 62 VRANJIC, KAŠTEL LUKŠIĆ, KAŠTEL KAMBELOVAC, DALMACIJA"
"Popis_1","62","KAŠTEL KAMBELOVAC","","CD 62 VRANJIC, KAŠTEL LUKŠIĆ, KAŠTEL KAMBELOVAC, DALMACIJA"
"Popis_1","62","DALMACIJA","","CD 62 VRANJIC, KAŠTEL LUKŠIĆ, KAŠTEL KAMBELOVAC, DALMACIJA"
"Popis_1","63","KAŠTEL KAMBELOVAC","","CD 63 KAŠTEL KAMBELOVAC, KAŠTEL STARI, KAŠTELA"
"Popis_1","63","KAŠTEL STARI","","CD 63 KAŠTEL KAMBELOVAC, KAŠTEL STARI, KAŠTELA"
"Popis_1","63","KAŠTELA","","CD 63 KAŠTEL KAMBELOVAC, KAŠTEL STARI, KAŠTELA"
"Popis_1","64","KAŠTEL STARI","","CD 64 KAŠTEL STARI, KAŠTEL LUKŠIĆ, KAŠTEL KAMBELOVAC, KAŠTELA"
"Popis_1","64","KAŠTEL LUKŠIĆ","","CD 64 KAŠTEL STARI, KAŠTEL LUKŠIĆ, KAŠTEL KAMBELOVAC, KAŠTELA"
"Popis_1","64","KAŠTEL KAMBELOVAC","","CD 64 KAŠTEL STARI, KAŠTEL LUKŠIĆ, KAŠTEL KAMBELOVAC, KAŠTELA"
"Popis_1","64","KAŠTELA","","CD 64 KAŠTEL STARI, KAŠTEL LUKŠIĆ, KAŠTEL KAMBELOVAC, KAŠTELA"
"Popis_1","65","KAŠTEL KAMBELOVAC","","CD 65 KAŠTEL KAMBELOVAC, KAŠTELA"
"Popis_1","65","KAŠTELA","","CD 65 KAŠTEL KAMBELOVAC, KAŠTELA"
"Popis_1","66","PRIDRAGA","","CD 66 PRIDRAGA, ZADARSKO ZALEĐE"
"Popis_1","66","ZADARSKO ZALEĐE","","CD 66 PRIDRAGA, ZADARSKO ZALEĐE"
"Popis_1","67","PRIDRAGA","","CD 67 PRIDRAGA, PAG (OTOK PAG)"
"Popis_1","67","PAG (OTOK PAG)","","CD 67 PRIDRAGA, PAG (OTOK PAG)"
"Popis_1","68","PAG","","CD 68 PAG, OTOK PAG"
"Popis_1","68","OTOK PAG","","CD 68 PAG, OTOK PAG"
"Popis_1","69","PAG","","CD 69 PAG, OTOK PAG"
"Popis_1","69","OTOK PAG","","CD 69 PAG, OTOK PAG"
"Popis_1","70","PAG","","CD 70 PAG, OTOK PAG; NOVI VINODOLSKI"
"Popis_1","70","OTOK PAG; NOVI VINODOLSKI","","CD 70 PAG, OTOK PAG; NOVI VINODOLSKI"
"Popis_1","71","NOVI VINODOLSKI","","CD 71 NOVI VINODOLSKI"
"Popis_1","72","NOVI VINODOLSKI","","CD 72 NOVI VINODOLSKI"
"Popis_1","73","PETRČANE","","CD 73 PETRČANE, ZADAR"
"Popis_1","73","ZADAR","","CD 73 PETRČANE, ZADAR"
"Popis_1","74","ORLEC","","CD 74 ORLEC, OTOK CRES"
"Popis_1","74","OTOK CRES","","CD 74 ORLEC, OTOK CRES"
"Popis_1","75","ORLEC","","CD 75 ORLEC, OTOK CRES"
"Popis_1","75","OTOK CRES","","CD 75 ORLEC, OTOK CRES"
"Popis_1","76","ROGOZNICA","","CD 76 ROGOZNICA, DALMACIJA"
"Popis_1","76","DALMACIJA","","CD 76 ROGOZNICA, DALMACIJA"
"Popis_1","77","ROGOZNICA I PRIMOŠTEN","","CD 77 ROGOZNICA I PRIMOŠTEN, DALMACIJA"
"Popis_1","77","DALMACIJA","","CD 77 ROGOZNICA I PRIMOŠTEN, DALMACIJA"
"Popis_1","78","ROGOZNICA I KOMIŽA","","CD 78 ROGOZNICA I KOMIŽA, OTOK VIS"
"Popis_1","78","OTOK VIS","","CD 78 ROGOZNICA I KOMIŽA, OTOK VIS"
"Popis_1","79","KOMIŽA I VIS","","CD 79 KOMIŽA I VIS, OTOK VIS"
"Popis_1","79","OTOK VIS","","CD 79 KOMIŽA I VIS, OTOK VIS"
