Name,Occurrences,CDs,Sources,Notes,Latitude,Longitude
"KLIS (Ponovno naveden u kazalu pod ovim brojem)","1","","Popis_2","",43.55944,16.51944
"KOMIN","1","143","Popis_1","",43.04083,17.53694
"KOMIŽA I VIS","1","79","Popis_1","",43.04306,16.09306
"KORČULA","2","51, 52","Popis_1","",42.96038,17.13525
"KORČULA; STON","1","53","Popis_1","",42.838,17.696
"KOSTANJE","4","96, 97, 98, 99","Popis_1","",43.44083,16.83311
"KRAS","1","105","Popis_1","",45.11,14.59889
"KRAS I RASOPASNO","1","106","Popis_1","",45.11,14.59889
"KRILO – JESENICE","1","","Popis_2","",43.458,16.591
"KRK","51","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 54, 55, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123","Popis_1","",45.02744,14.57542
"KRK (SNIMANO U RIJECI)","1","19","Popis_1","",45.02744,14.57542
"KRSTATICE","1","136","Popis_1","",43.364,17.15687
"KUKULJICA","1","48","Popis_1","",45.0438,16.15424
"KUKULJICA (VJEROJATNO KUKLJICA)","1","47","Popis_1","",45.0438,16.15424
"LANIŠĆE","3","32, 33, 34","Popis_1","",45.40722,14.11639
"LANIŠĆE I PAZIN","1","35","Popis_1","",45.40722,14.11639
"LIŠANE OSTROVIČKE","4","1, 4","Knjiga_1","Napjevi 01–06 | Napjev 18 | Napjevi 22–23 | Napjev 22",43.97334,15.76073
"LOKVIČIĆI","2","135","Popis_1","",43.5081,16.4401
"LOPAR","1","26","Popis_1","",44.8325,14.73028
"MAKARSKA","1","128","Popis_1","",43.29694,17.01778
"MALINSKA","1","5","Popis_1","",45.12268,14.52737
"METKOVIĆ","10","1, 2, 3, 4, 147, 148","Knjiga_1, Popis_1","Napjevi 14–16 | Napjev 03 | Napjev 07 | Napjev 11 | Napjevi 04–05 | Napjev 14 | Napjev 17",43.05417,17.64833
"MILJEVCI","6","2, 3","Knjiga_2","Napjev 22 | Napjev 43 | Napjev 45 | Napjev 10 | Napjev 25 | Napjev 30",45.6615,17.82462
"MIRLOVIĆ ZAGORA","10","1, 2, 3","Knjiga_2","Napjevi 13–18 | Napjevi 20–21 | Napjev 30 | Napjev 34 | Napjev 38 | Napjev 44 | Napjev 05 | Napjev 11 | Napjev 24 | Napjevi 31–32",43.76006,16.10029
"NERETVANSKA KRAJINA","7","143, 144, 145, 146, 147, 148, 149","Popis_1","",43.05,17.65
"NEREŽIŠĆA","1","","Popis_2","",43.33111,16.57861
"NOVALJA","3","28, 29, 140","Popis_1","",44.55778,14.88667
"NOVI VINODOLSKI","3","71, 72, 140","Popis_1","",45.12806,14.78889
"NOVO SELO","1","","Popis_2","",44.08007,17.15556
"OMIŠALJ","12","1, 2, 3, 4, 5, 6, 7, 8, 19, 54, 55, 119","Popis_1","",45.21134,14.55495
"OMIŠALJ I VRBNIK","1","120","Popis_1","",45.21134,14.55495
"OPUZEN","2","145, 146","Popis_1","",43.01528,17.56556
"ORLEC","2","74, 75","Popis_1","",44.88222,14.42472
"OTOK CRES","2","74, 75","Popis_1","",44.96092,14.41246
"OTOK KRK","2","139","Popis_1","",45.02744,14.57542
"OTOK PAG","2","68, 69","Popis_1","",44.445,15.0575
"OTOK PAG; NOVI VINODOLSKI","1","70","Popis_1","",43.5081,16.4401
"OTOK PRVIĆ","2","80, 81","Popis_1","",43.72583,15.80074
"OTOK PRVIĆ; VODICE","1","82","Popis_1","",43.5081,16.4401
"OTOK VIS","2","78, 79","Popis_1","",43.06194,16.18306
"OTOK VIS; LUKA I ŠEPURINE","1","80","Popis_1","",43.5081,16.4401
"PAG","5","28, 29, 68, 69, 70","Popis_1","",44.445,15.0575
"PAG (OTOK PAG)","1","67","Popis_1","",44.445,15.0575
"PAG I KRK","1","138","Popis_1","",44.445,15.0575
"PELJEŠAC","1","53","Popis_1","",42.88,17.43
"PETRČANE","1","73","Popis_1","",44.18556,15.16556
"PITVE","1","","Popis_2","",43.15194,16.66944
"PLOČE","1","152","Popis_1","",43.05611,17.43278
"PODACA","1","127","Popis_1","",43.12548,17.30227
"PODBABLJE","2","135","Popis_1","",43.39314,17.17953
"PODGORA","1","125","Popis_1","",43.24333,17.07722
"PODSTRANA (SV. MARTIN - ŠĆADINE)","2","85, 86","Popis_1","",44.6527,15.20587
"POLJICA","1","108","Popis_1","",43.43,16.66
"POLJICA IMOTSKA","1","133","Popis_1","",43.43,17.13
"POSEDARJE","1","141","Popis_1","",44.21361,15.47667
"PRAŽNICE","1","","Popis_2","",43.32028,16.69778
"PREKO (UGLJAN)","2","49, 50","Popis_1","",44.08111,15.1875
"PRGOMET","2","1, 2","Knjiga_1","Napjev 24 | Napjev 02",43.60631,16.22912
"PRIDRAGA","2","66, 67","Popis_1","",44.15135,15.58437
"PROLOŽAC","1","131","Popis_1","",43.46972,17.15639
"PROMINA","1","3","Knjiga_2","Napjev 12",43.95,16.16667
"PRVIĆ I ŠEPURINE","1","81","Popis_1","",43.72583,15.80074
"PUČIŠĆA","1","","Popis_2","",43.34778,16.73389
"PUNAT","4","9, 10, 112, 113","Popis_1","",45.01472,14.62889
"RAB","3","25, 26, 27","Popis_1","",44.75694,14.76083
"RAČIŠĆE","1","53","Popis_1","",42.97639,17.01667
"RADOŠIĆ","5","2, 3","Knjiga_2","Napjevi 01–05 | Napjev 25 | Napjev 33 | Napjev 42 | Napjevi 28–29",43.69759,16.60293
"RIČICE","1","134","Popis_1","",43.51333,17.11056
"RISIKA","1","114","Popis_1","",45.10556,14.64333
"ROGOTIN","2","148, 149","Popis_1","",43.04681,17.47683
"ROGOZNICA","2","76, 135","Popis_1","",43.53433,15.96824
"ROGOZNICA – LOKVA","1","135","Popis_1","",43.534,15.968
"ROGOZNICA I KOMIŽA","1","78","Popis_1","",43.53433,15.96824
"ROGOZNICA I PRIMOŠTEN","1","77","Popis_1","",43.53433,15.96824
"RUNOVIĆ","1","131","Popis_1","",43.38685,17.23911
"RUNOVIĆI","1","3","Knjiga_1","U izvoru piše ""iz Runovića""; napjev 01",43.38926,17.2328
"RUPE","5","1, 2, 3","Knjiga_2","Napjevi 19–22 | Napjev 23 | Napjev 31 | Napjev 41 | Napjev 27",43.89528,15.945
"SESTRUN","1","140","Popis_1","",44.15222,15.00111
"SESTRUNJ","2","48, 49","Popis_1","",44.15222,15.00111
"SKRPČIĆI (ŽUPA LINARDIĆI)","2","101, 102","Popis_1","",45.068,14.509
"SLIME","1","136","Popis_1","",43.425,16.8747
"SLIVNO-RAVNO","1","148","Popis_1","",42.993,17.519
"SMOKVICA","1","52","Popis_1","",42.93056,16.89639
"SOLIN","1","","Popis_2","",43.5432,16.49314
"SPLIT","7","1, 2, 3, 4","Knjiga_1","Crkva sestara Službenica Milosrđa – Anćele; napjev 17 | Crkva sestara Službenica Milosrđa – Anćele; napjev 21 | Crkva sestara Službenica Milosrđa – Anćele; napjev 09 | Crkva sestara Službenica Milosrđa – Anćele; napjev 06 | Crkva sestara Službenica Milosrđa – Anćele; napjevi 05–06 | Crkva sestara Službenica Milosrđa – Anćele; napjev 10 | Crkva sestara Službenica Milosrđa – Anćele; napjev 20",43.50891,16.43915
"SPLITSKA","1","","Popis_2","",43.37528,16.60722
"SREDIŠNA","1","131","Popis_1","",43.43,17.2
"SRIJANE - VELA NJIVA","1","90","Popis_1","",43.51778,16.72806
"STANKOVCI","6","1, 3, 4","Knjiga_1","Napjevi 07–13 | Napjevi 19–20 | Napjev 25 | Napjev 02 | Napjevi 07–09 | Napjev 21",43.90972,15.69972
"STARI GRAD","1","","Popis_2","",43.18387,16.59784
"STARIGRAD I BRUSJE","1","37","Popis_1","",44.29601,15.43865
"STUDENCI","1","134","Popis_1","",43.53056,17.03056
"SUKOŠAN","1","140","Popis_1","",44.05,15.31667
"SUMARTIN","6","2, 4","Knjiga_1","Napjev 01 | Napjevi 04–06 | Napjev 08 | Napjev 10 | Napjevi 01–02 | Napjev 12",43.285,16.87556
"SUPETAR 7b. SELCA","1","","Popis_2","",43.297,16.851
"SV. VID","1","103","Popis_1","",45.127,14.516
"SVIRČE","1","","Popis_2","",43.1575,16.64722
"ŠEPURINE","1","82","Popis_1","",43.73253,15.78873
"ŠKRIP","1","","Popis_2","",43.35472,16.60389
"TREBIŽAT","1","151","Popis_1","",43.12778,17.67833
"TROGIR","3","30, 31","Popis_1, Popis_2","",43.5125,16.25167
"TUČEPI","2","124, 125","Popis_1","",43.27222,17.05444
"TUGARE","2","88, 89","Popis_1","",43.47266,16.65061
"VELI VAROŠ","1","","Popis_2","",43.508,16.433
"VELIKO BRDO","2","125, 126","Popis_1","",43.31972,17.01972
"VELJACI-GRAB-SINAC","1","150","Popis_1","",43.24,17.45
"VID","1","144","Popis_1","",43.08028,17.62583
"VIDONJE","2","146, 147","Popis_1","",43.08028,17.46722
"VINJANI","1","131","Popis_1","",43.50561,17.23036
"VIS","1","80","Popis_1","",43.06194,16.18306
"VODICE","1","83","Popis_1","",43.76083,15.78278
"VRANJIC","2","61, 62","Popis_1","",43.53333,16.46667
"VRBANJ","1","","Popis_2","",43.165,16.64556
"VRBNIK","12","13, 14, 20, 21, 22, 23, 100, 121, 122, 123","Popis_1","",45.07583,14.6725
"VRBNIK I BAŠKA","1","24","Popis_1","",45.07583,14.6725
"VRBOSKA","1","","Popis_2","",43.18222,16.67083
"VRGORAC","3","3, 4","Knjiga_1, Knjiga_2","Napjev 13 | Napjev 16 | Napjev 07",43.20583,17.37111
"VRH","1","109","Popis_1","",45.05012,14.52976
"VRISNIK","2","47","Popis_1, Popis_2","",43.15167,16.65333
"ZADAR","2","73, 141","Popis_1","",44.11578,15.22514
"ZADARSKI OTOCI","3","48, 49, 50","Popis_1","",44.115,15
"ZADARSKO ZALEĐE","1","66","Popis_1","",44.11,15.35
"ZADVARJE","1","136","Popis_1","",43.43139,16.88972
"ZAGVOZD","1","133","Popis_1","",43.3975,17.05694
"ZAOSTROG","2","126, 127","Popis_1","",43.1425,17.28222
"ZMIJAVCI","1","131","Popis_1","",43.41083,17.20556
"ŽIVOGOŠĆE","1","129","Popis_1","",43.18798,17.16091
"ŽRNOVO","1","53","Popis_1","",42.94523,17.11028
"ŽUPA BIOKOVSKA","1","133","Popis_1","",43.284,17.067
