id_mjesta,naziv,otok_podrucje,regija,lat,lon,tocnost_koordinata,napomena
drvenik-makarska,Drvenik (Makarsko primorje),,Makarsko primorje,43.155,17.247,neprovjereno,U Knjizi 2 i CD 126 ('Drivenik') moguća dvosmislenost s otokom Drvenikom kod Trogira
dubasnica,Dubašnica,Otok Krk,Kvarner,45.115,14.525,priblizno,"Područje/župa, ne pojedinačno naselje"
duce-rogac,Duće – Rogač,Kod Omiša,Poljica,43.437,16.653,neprovjereno,
gata,Gata,,Poljica,43.448,16.726,priblizno,
gornje-selo-solta,Gornje Selo,Otok Šolta,Splitsko područje,43.37,16.34,priblizno,
gornji-humac,Gornji Humac,Otok Brač,Srednjodalmatinski otoci,43.31,16.76,priblizno,
hvar-grad,Hvar (grad),Otok Hvar,Srednjodalmatinski otoci,43.172,16.443,priblizno,
igrane,Igrane,,Makarsko primorje,43.205,17.14,priblizno,
imotski,Imotski,,Imotska krajina,43.446,17.217,priblizno,
jelsa,Jelsa,Otok Hvar,Srednjodalmatinski otoci,43.161,16.692,priblizno,
jesenice-sumpetar,Jesenice – Sumpetar,,Poljica,43.45,16.6,priblizno,
jurandvor,Jurandvor,Otok Krk,Kvarner,44.98,14.745,priblizno,
katuni-kresevo,Katuni – Kreševo,,Omiško zaleđe (Šestanovac),43.456,16.862,priblizno,
kastel-kambelovac,Kaštel Kambelovac,Kaštela,Splitsko područje,43.549,16.385,priblizno,
kastel-luksic,Kaštel Lukšić,Kaštela,Splitsko područje,43.553,16.367,priblizno,
kastel-novi,Kaštel Novi,Kaštela,Splitsko područje,43.552,16.341,priblizno,
kastel-stari,Kaštel Stari,Kaštela,Splitsko područje,43.551,16.352,priblizno,
kastel-sucurac,Kaštel Sućurac,Kaštela,Splitsko područje,43.548,16.43,priblizno,
kastel-stafilic,Kaštel Štafilić,Kaštela,Splitsko područje,43.553,16.331,priblizno,
klis,Klis,,Splitsko zaleđe,43.557,16.524,priblizno,
komin,Komin,,Neretvanska krajina,43.052,17.45,priblizno,
komiza,Komiža,Otok Vis,Srednjodalmatinski otoci,43.043,16.089,priblizno,
kostanje,Kostanje,,Poljica,43.469,16.797,priblizno,
kozica,Kozica,,Vrgorska krajina,43.24,17.28,neprovjereno,
kras,Kras,Otok Krk,Kvarner,45.115,14.61,priblizno,
krilo-jesenice,Krilo – Jesenice,,Poljica,43.452,16.598,priblizno,
krstatice,Krstatice,,Zabiokovlje,43.385,17.105,neprovjereno,
kukljica,Kukljica,Otok Ugljan,Zadarski otoci,44.03,15.252,priblizno,U izvoru 'Kukuljica' — vjerojatno Kukljica
lanisce,Lanišće,Ćićarija,Istra,45.355,14.05,priblizno,
lisane-ostrovicke,Lišane Ostrovičke,,Ravni kotari,43.945,15.728,priblizno,
lokvicici,Lokvičići,,Imotska krajina,43.42,17.13,priblizno,
lopar,Lopar,Otok Rab,Kvarner,44.829,14.731,priblizno,
makarska,Makarska,,Makarsko primorje,43.297,17.018,priblizno,
malinska,Malinska,Otok Krk,Kvarner,45.124,14.53,priblizno,
metkovic,Metković,,Neretvanska krajina,43.054,17.648,priblizno,
miljevci,Miljevci,Miljevačka visoravan,Šibenska zagora,43.87,15.97,priblizno,"Područje (više sela), ne jedno naselje"
mirlovic-zagora,Mirlović Zagora,,Šibenska zagora,43.815,16.085,priblizno,
nerezisca,Nerežišća,Otok Brač,Srednjodalmatinski otoci,43.33,16.575,priblizno,
novalja,Novalja,Otok Pag,Sjeverna Dalmacija/Kvarner,44.558,14.886,priblizno,
novi-vinodolski,Novi Vinodolski,Vinodol,Primorje,45.128,14.788,priblizno,
novo-selo-brac,Novo Selo,Otok Brač,Srednjodalmatinski otoci,43.305,16.825,priblizno,
omisalj,Omišalj,Otok Krk,Kvarner,45.211,14.555,priblizno,
opuzen,Opuzen,,Neretvanska krajina,43.013,17.566,priblizno,
orlec,Orlec,Otok Cres,Kvarner,44.886,14.434,priblizno,
otok-krk,Otok Krk (općenito),Otok Krk,Kvarner,45.07,14.6,priblizno,CD-ovi označeni samo 'Krk' bez naselja; centroid otoka
otok-pag,Otok Pag (općenito),Otok Pag,Sjeverna Dalmacija,44.5,14.97,priblizno,CD označen samo 'Pag'; centroid otoka
pag-grad,Pag (grad),Otok Pag,Sjeverna Dalmacija,44.443,15.057,priblizno,
pazin,Pazin,,Istra,45.24,13.937,priblizno,
petrcane,Petrčane,,Zadarsko područje,44.176,15.165,priblizno,
pitve,Pitve,Otok Hvar,Srednjodalmatinski otoci,43.152,16.687,priblizno,
ploce,Ploče,,Neretvanska krajina,43.054,17.43,priblizno,
podaca,Podaca,,Makarsko primorje,43.113,17.305,priblizno,
podbablje,Podbablje,,Imotska krajina,43.411,17.18,priblizno,
podgora,Podgora,,Makarsko primorje,43.245,17.075,priblizno,
podstrana,Podstrana (Sv. Martin – Šćadine),,Splitsko područje/Poljica,43.488,16.556,priblizno,
poljica-krk,Poljica (Krk),Otok Krk,Kvarner,45.075,14.5,neprovjereno,
poljica-imotska,Poljica Imotska,,Imotska krajina,43.5,17.16,neprovjereno,
posedarje,Posedarje,,Zadarsko zaleđe,44.213,15.48,priblizno,
postira,Postira,Otok Brač,Srednjodalmatinski otoci,43.376,16.63,priblizno,
praznice,Pražnice,Otok Brač,Srednjodalmatinski otoci,43.32,16.715,priblizno,
preko,Preko,Otok Ugljan,Zadarski otoci,44.082,15.187,priblizno,
prgomet,Prgomet,,Trogirska zagora,43.62,16.34,priblizno,
pridraga,Pridraga,Novigradsko područje,Zadarsko zaleđe,44.13,15.55,priblizno,
primosten,Primošten,,Šibensko područje,43.586,15.926,priblizno,
prolozac,Proložac,,Imotska krajina,43.47,17.165,priblizno,
promina,Promina (Oklaj),,Šibenska zagora,43.96,16.13,priblizno,Općina Promina; pretpostavljeno središte Oklaj
prvic-luka,Prvić Luka,Otok Prvić,Šibensko područje,43.726,15.799,priblizno,U izvoru i 'Luka' i 'Prvić'
punat,Punat,Otok Krk,Kvarner,45.013,14.629,priblizno,
pucisca,Pučišća,Otok Brač,Srednjodalmatinski otoci,43.347,16.734,priblizno,
radosic,Radošić,Kod Lećevice,Trogirska zagora,43.6,16.37,neprovjereno,Pretpostavljen Radošić kod Lećevice
rasopasno,Rasopasno,Otok Krk,Kvarner,45.12,14.58,neprovjereno,
racisce,Račišće,Otok Korčula,Južnodalmatinski otoci,42.974,17.02,priblizno,
risika,Risika,Otok Krk,Kvarner,45.095,14.66,priblizno,
ricice,Ričice,,Imotska krajina,43.527,17.09,priblizno,
rogotin,Rogotin,,Neretvanska krajina,43.043,17.483,priblizno,
rogoznica,Rogoznica,,Šibensko područje,43.527,15.965,priblizno,
rogoznica-lokva,Rogoznica – Lokva (Lokva Rogoznica),Kod Omiša,Omiško primorje,43.414,16.776,neprovjereno,Identifikacija nesigurna; moguće i Rogoznica u Imotskoj krajini
runovici,Runovići,,Imotska krajina,43.382,17.225,priblizno,U izvorima i 'Runović' i 'iz Runovića'
rupe,Rupe,Skradinsko zaleđe,Šibenska zagora,43.943,15.94,priblizno,
selca,Selca,Otok Brač,Srednjodalmatinski otoci,43.298,16.852,priblizno,
sestrunj,Sestrunj,Otok Sestrunj,Zadarski otoci,44.14,15.01,priblizno,
skrpcici,Skrpčići (župa Linardići),Otok Krk,Kvarner,45.055,14.523,priblizno,
slime,Slime,,Omiško zaleđe,43.435,16.755,neprovjereno,
slivno-ravno,Slivno-Ravno,,Neretvanska krajina,42.985,17.585,neprovjereno,
smokvica,Smokvica,Otok Korčula,Južnodalmatinski otoci,42.929,16.89,priblizno,
solin,Solin,,Splitsko područje,43.539,16.493,priblizno,
split,Split,,Splitsko područje,43.509,16.44,priblizno,Knjiga 1: Crkva sestara Službenica Milosrđa (Anćele)
splitska,Splitska,Otok Brač,Srednjodalmatinski otoci,43.38,16.602,priblizno,
sredisna,Središna (Runovići),,Imotska krajina,43.39,17.235,neprovjereno,Zaselak Runovića; identificiran prema popisu fonoteke (CD 131: 'Runović – Središna')
srijane,Srijane – Vela Njiva,,Poljica (Zamosorje),43.557,16.744,neprovjereno,
stankovci,Stankovci,,Ravni kotari,43.918,15.722,priblizno,
stari-grad-hvar,Stari Grad,Otok Hvar,Srednjodalmatinski otoci,43.184,16.595,priblizno,U Popisnom listu 1 piše 'Starigrad'
stobrec,Stobreč,,Splitsko područje,43.503,16.527,priblizno,
ston,Ston,Pelješac,Južna Dalmacija,42.837,17.697,priblizno,
studenci,Studenci,,Imotska krajina,43.53,17.21,priblizno,
sukosan,Sukošan,,Zadarsko područje,44.046,15.31,priblizno,
sumartin,Sumartin,Otok Brač,Srednjodalmatinski otoci,43.285,16.873,priblizno,
supetar,Supetar,Otok Brač,Srednjodalmatinski otoci,43.385,16.553,priblizno,
sv-vid,Sveti Vid (Sv. Vid-Miholjice),Otok Krk,Kvarner,45.115,14.565,neprovjereno,Pretpostavljeno Sv. Vid-Miholjice
svirce,Svirče,Otok Hvar,Srednjodalmatinski otoci,43.155,16.65,priblizno,
trebizat,Trebižat,,Hercegovina (BiH),43.225,17.49,neprovjereno,
trogir,Trogir,,Splitsko područje,43.517,16.251,priblizno,
tugare,Tugare,,Poljica,43.48,16.654,priblizno,
tucepi,Tučepi,,Makarsko primorje,43.27,17.055,priblizno,
veli-varos,Veli Varoš (Split),,Splitsko područje,43.508,16.434,priblizno,
veliko-brdo,Veliko Brdo,,Makarsko primorje,43.31,17.0,priblizno,
veljaci-grab-sinac,Veljaci – Grab – Sinac,Ljubuški kraj,Hercegovina (BiH),43.27,17.42,neprovjereno,"Skupina sela, zajednička točka; potrebna provjera"
vid,Vid,,Neretvanska krajina,43.078,17.62,priblizno,
vidonje,Vidonje,,Neretvanska krajina,42.99,17.67,neprovjereno,
vinjani,Vinjani,,Imotska krajina,43.45,17.26,neprovjereno,Vinjani Donji/Gornji — nije precizirano
vis-grad,Vis (grad),Otok Vis,Srednjodalmatinski otoci,43.061,16.183,priblizno,
vodice,Vodice,,Šibensko područje,43.761,15.783,priblizno,
vranjic,Vranjic,,Splitsko područje,43.531,16.46,priblizno,
vrbanj,Vrbanj,Otok Hvar,Srednjodalmatinski otoci,43.171,16.64,priblizno,
vrbnik,Vrbnik,Otok Krk,Kvarner,45.078,14.673,priblizno,
vrboska,Vrboska,Otok Hvar,Srednjodalmatinski otoci,43.179,16.668,priblizno,
vrgorac,Vrgorac,,Vrgorska krajina,43.205,17.375,priblizno,
vrh,Vrh,Otok Krk,Kvarner,45.045,14.555,priblizno,
vrisnik,Vrisnik,Otok Hvar,Srednjodalmatinski otoci,43.149,16.66,priblizno,
zadvarje,Zadvarje,,Omiško zaleđe,43.428,16.879,priblizno,
zagvozd,Zagvozd,,Zabiokovlje,43.395,17.055,priblizno,
zaostrog,Zaostrog,,Makarsko primorje,43.13,17.28,priblizno,
zmijavci,Zmijavci,,Imotska krajina,43.413,17.205,priblizno,
capljina,Čapljina,,Hercegovina (BiH),43.11,17.7,priblizno,
cara,Čara,Otok Korčula,Južnodalmatinski otoci,42.913,16.943,priblizno,
cvrljevo,Čvrljevo,,Šibenska zagora,43.74,16.21,priblizno,
sepurine,Šepurine,Otok Prvić,Šibensko područje,43.735,15.787,priblizno,
skrip,Škrip,Otok Brač,Srednjodalmatinski otoci,43.367,16.605,priblizno,
zivogosce,Živogošće,,Makarsko primorje,43.188,17.19,priblizno,
zrnovo,Žrnovo,Otok Korčula,Južnodalmatinski otoci,42.953,17.11,priblizno,
zupa-biokovska,Župa Biokovska,,Zabiokovlje,43.355,17.115,neprovjereno,
