izvor,cd_ili_redni_broj,napjevi,id_mjesta,mjesto,napomena,metaoznaka_snimke,poveznica_na_snimke
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,17,metkovic,Metković,,snimljeno kolovoza 2004.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,18–19,split,Split,"Prema PDF popisu fonoteke: zbor Gospe od Zdravlja, crkva Anćele u Splitu",snimljeno srpnja 2009.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,20,split,Split,Crkva sestara Službenica Milosrđa – Anćele,snimljeno srpnja 2009.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,21,stankovci,Stankovci,,snimljeno kolovoza 2010.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,22,lisane-ostrovicke,Lišane Ostrovičke,,snimljeno kolovoza 2008.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 1,01–12,igrane,Igrane,,"snimio Ivan Talijančić, 2005.",https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-1/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 1,13–18,mirlovic-zagora,Mirlović Zagora,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-1/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 1,19–22,rupe,Rupe,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-1/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 1,23–26,cvrljevo,Čvrljevo,Snimljeno u Splitu,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-1/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 1,27–31,banjevci,Banjevci,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-1/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 1,32–33,,(lokacija nije navedena),Lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-1/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,01–05,radosic,Radošić,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,06–08,drvenik-makarska,Drvenik (Makarsko primorje),U izvoru 'Drvenik' — identifikacija nesigurna,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,09–17,,(lokacija nije navedena),Ante Cvitanović Mika; lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,18,,(lokacija nije navedena),Martin Burić; lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,19,,(lokacija nije navedena),Martin Veža; lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,20–21,mirlovic-zagora,Mirlović Zagora,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,22,miljevci,Miljevci,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,23,rupe,Rupe,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,24,banjevci,Banjevci,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,25,radosic,Radošić,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,26–29,,(lokacija nije navedena),Ante Cvitanović Mika; lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,30,mirlovic-zagora,Mirlović Zagora,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,31,rupe,Rupe,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,32,cvrljevo,Čvrljevo,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,33,radosic,Radošić,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,34,mirlovic-zagora,Mirlović Zagora,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,35,banjevci,Banjevci,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,36,brist,Brist,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,37,,(lokacija nije navedena),Ante Cvitanović Mika; lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,38,mirlovic-zagora,Mirlović Zagora,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,39,cvrljevo,Čvrljevo,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,40,,(lokacija nije navedena),Slavka i Kata Krnić; lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,41,rupe,Rupe,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,42,radosic,Radošić,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,43,miljevci,Miljevci,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,44,mirlovic-zagora,Mirlović Zagora,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 2,45,miljevci,Miljevci,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-2/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,01–04,,(lokacija nije navedena),Ante Cvitanović Mika; lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,05,mirlovic-zagora,Mirlović Zagora,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,06,,(lokacija nije navedena),Ante Cvitanović Mika; lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,07,vrgorac,Vrgorac,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,08–09,brist,Brist,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,10,miljevci,Miljevci,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,11,mirlovic-zagora,Mirlović Zagora,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,12,promina,Promina (Oklaj),,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,13,,(lokacija nije navedena),Božo Škopljanac; lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,14–18,,(lokacija nije navedena),Ante Cvitanović Mika; lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,19,,(lokacija nije navedena),Fra Šimun Čugura; lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,20–21,,(lokacija nije navedena),Ante Cvitanović Mika; lokacija nije navedena,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,22–23,brist,Brist,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,24,mirlovic-zagora,Mirlović Zagora,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,25,miljevci,Miljevci,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,26,banjevci,Banjevci,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,27,rupe,Rupe,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,28–29,radosic,Radošić,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,30,miljevci,Miljevci,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Knjiga 2 (Tradicijsko pučko crkveno pjevanje),CD 3,31–32,mirlovic-zagora,Mirlović Zagora,,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-knjiga-2-cd-3/
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 1,,omisalj,Omišalj,,"snimio prof. dr. J. Hamm, 1954.",https://stin.hr/portfolio-items/cd-1-10/#cd1
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 2,,omisalj,Omišalj,,"snimio prof. dr. J. Hamm, 1954.",https://stin.hr/portfolio-items/cd-1-10/#cd2
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 3,,omisalj,Omišalj,,"snimio prof. dr. J. Hamm, 1954.",https://stin.hr/portfolio-items/cd-1-10/#cd3
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 4,,omisalj,Omišalj,,"snimio prof. dr. J. Hamm, 1954.",https://stin.hr/portfolio-items/cd-1-10/#cd4
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 5,,malinska,Malinska,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-1-10/#cd5
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 5,,dubasnica,Dubašnica,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-1-10/#cd5
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 5,,omisalj,Omišalj,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-1-10/#cd5
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 6,,omisalj,Omišalj,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-1-10/#cd6
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 7,,omisalj,Omišalj,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-1-10/#cd7
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 8,,omisalj,Omišalj,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-1-10/#cd8
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 9,,punat,Punat,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-1-10/#cd9
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 10,,punat,Punat,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-1-10/#cd10
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 11,,jurandvor,Jurandvor,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-11-20/#cd11
